,Geohash,building_count,total_road_length,lat,lon,elevation,slope,NDVI,Cell_ID,Site_latitude,Site_longitude,EARFCN_DL,population_density,RSRP,RSRQ,antenna_height,azimuth,tilt
63,tc1sfux,0.0,0,6.485366821289063,80.99052429199219,108.59618,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,12.760326385498049,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
64,tc1sfuy,0.0,0,6.486740112304688,80.98915100097656,110.077736,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
65,tc1sfuz,0.0,0,6.486740112304688,80.99052429199219,116.25556,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,12.760326385498049,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
66,tc1sfv1,0.0,0,6.4881134033203125,80.98228454589844,112.08913,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
67,tc1sfv2,0.0,0,6.4894866943359375,80.98091125488281,113.81101,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,10.657715797424316,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
68,tc1sfv3,0.0,0,6.4894866943359375,80.98228454589844,112.7097,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
69,tc1sfv4,0.0,0,6.4881134033203125,80.98365783691406,112.23513,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
70,tc1sfv5,0.0,0,6.4881134033203125,80.98503112792969,108.44974,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
71,tc1sfv6,0.0,0,6.4894866943359375,80.98365783691406,112.22567,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
72,tc1sfv7,0.0,0,6.4894866943359375,80.98503112792969,108.23206,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
73,tc1sfv8,0.0,0,6.4908599853515625,80.98091125488281,111.52383,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,10.657715797424316,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
74,tc1sfv9,0.0,0,6.4908599853515625,80.98228454589844,114.66022,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
75,tc1sfvb,0.0,0,6.492233276367188,80.98091125488281,114.619545,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,7.900449275970459,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
76,tc1sfvc,0.0,0,6.492233276367188,80.98228454589844,114.13049,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,12.058435440063477,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
77,tc1sfvd,0.0,0,6.4908599853515625,80.98365783691406,113.326454,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
78,tc1sfve,0.0,0,6.4908599853515625,80.98503112792969,110.54896,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
79,tc1sfvf,0.0,0,6.492233276367188,80.98365783691406,110.01195,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,12.058435440063477,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
80,tc1sfvg,0.0,0,6.492233276367188,80.98503112792969,119.61461,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,12.058435440063477,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
81,tc1sfvh,0.0,0,6.4881134033203125,80.98640441894531,110.4333,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
82,tc1sfvj,0.0,0,6.4881134033203125,80.98777770996094,111.99942,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
83,tc1sfvk,0.0,0,6.4894866943359375,80.98640441894531,112.971375,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
84,tc1sfvm,0.0,0,6.4894866943359375,80.98777770996094,112.73103,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
85,tc1sfvn,0.0,0,6.4881134033203125,80.98915100097656,108.4885,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
86,tc1sfvp,0.0,0,6.4881134033203125,80.99052429199219,113.1646,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,12.760326385498049,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
87,tc1sfvq,0.0,0,6.4894866943359375,80.98915100097656,110.77938,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
88,tc1sfvr,0.0,0,6.4894866943359375,80.99052429199219,111.654465,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,12.760326385498049,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
89,tc1sfvs,0.0,0,6.4908599853515625,80.98640441894531,113.78378,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
90,tc1sfvt,0.0,0,6.4908599853515625,80.98777770996094,111.81343,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
91,tc1sfvu,0.0,0,6.492233276367188,80.98640441894531,117.94075,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,12.058435440063477,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
92,tc1sfvv,0.0,0,6.492233276367188,80.98777770996094,116.8194,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,12.058435440063477,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
93,tc1sfvw,0.0,0,6.4908599853515625,80.98915100097656,109.4976,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
94,tc1sfvx,0.0,0,6.4908599853515625,80.99052429199219,108.223274,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,12.760326385498049,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
95,tc1sfvy,0.0,0,6.492233276367188,80.98915100097656,111.32117,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,12.058435440063477,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
96,tc1sfvz,0.0,0,6.492233276367188,80.99052429199219,110.76833,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,15.760515213012695,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
97,tc1sfw1,0.0,0,6.4936065673828125,80.97129821777344,120.826256,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,8.414600372314453,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
98,tc1sfw2,0.0,0,6.4949798583984375,80.96992492675781,119.51817,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,8.414600372314453,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
99,tc1sfw3,0.0,0,6.4949798583984375,80.97129821777344,121.22967,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,8.414600372314453,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
100,tc1sfw4,0.0,0,6.4936065673828125,80.97267150878906,125.642395,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,8.414600372314453,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
101,tc1sfw5,0.0,0,6.4936065673828125,80.97404479980469,127.13085,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,7.900449275970459,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
