,EARFCN_DL,antenna_height,azimuth,tilt,Site_latitude,Site_longitude,building_count,total_road_length,elevation,NDVI,population_density,Geohash,RSRP,RSRQ,Cell_ID
66,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,112.08913,1.0,11.895256,tc1sfv1,-15.769514,-3.4625173,Cell_144
67,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,113.81101,1.0,10.657719,tc1sfv2,-15.769382,-3.4625318,Cell_144
68,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,112.7097,1.0,11.895256,tc1sfv3,-15.768971,-3.4625735,Cell_144
69,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,112.23513,1.0,11.895256,tc1sfv4,-15.768675,-3.4626162,Cell_144
70,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,108.44974,1.0,11.895256,tc1sfv5,-15.768205,-3.4627178,Cell_144
71,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,112.22567,1.0,11.895256,tc1sfv6,-15.768152,-3.4626834,Cell_144
72,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,108.23206,1.0,11.895256,tc1sfv7,-15.767696,-3.462786,Cell_144
73,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,111.52383,1.0,10.657719,tc1sfv8,-15.767694,-3.462773,Cell_144
74,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,114.66022,1.0,11.895256,tc1sfv9,-15.767565,-3.4627404,Cell_144
75,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,114.619545,1.0,7.9004483,tc1sfvb,-15.767519,-3.4628108,Cell_144
76,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,114.13049,1.0,12.058437,tc1sfvc,-15.767086,-3.462814,Cell_144
77,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,113.326454,1.0,11.895256,tc1sfvd,-15.766843,-3.4628606,Cell_144
78,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,110.54896,1.0,11.895256,tc1sfve,-15.766503,-3.4629374,Cell_144
79,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,110.01195,1.0,12.058437,tc1sfvf,-15.766276,-3.4629753,Cell_144
80,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,119.61461,1.0,12.058437,tc1sfvg,-15.766536,-3.4628541,Cell_144
81,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,110.4333,1.0,11.895256,tc1sfvh,-15.765931,-3.4630306,Cell_144
82,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,111.99942,1.0,11.895256,tc1sfvj,-15.765817,-3.463036,Cell_144
83,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,112.971375,1.0,11.895256,tc1sfvk,-15.765687,-3.4630513,Cell_144
84,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,112.73103,1.0,11.895256,tc1sfvm,-15.765502,-3.4630847,Cell_144
85,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,108.4885,1.0,11.895256,tc1sfvn,-15.765147,-3.4631774,Cell_144
86,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,113.1646,1.0,12.760326,tc1sfvp,-15.7651615,-3.4631293,Cell_144
87,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,110.77938,1.0,11.895256,tc1sfvq,-15.764936,-3.4631994,Cell_144
88,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,111.654465,1.0,12.760326,tc1sfvr,-15.764786,-3.4632077,Cell_144
89,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,113.78378,1.0,11.895256,tc1sfvs,-15.764758,-3.4632123,Cell_144
90,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,111.81343,1.0,11.895256,tc1sfvt,-15.764531,-3.4632676,Cell_144
