Cell_ID,Cell Name,RSRP,RSRQ,Geohash,EARFCN_DL,Latitude_of_MDT,Longitude_of_MDT,MR_Count,Site ID,Site Name (from MAIN DATA),Cell ID,Antenna Height,Azimuth,E Tilt,M Tilt,Tilt,Latitude_of_Site,Longitude_of_Site,MDT height from MSL,Site height from MSL,Height Difference,Horizontal Distance,Angle_from_North,Azimuth_to_nearest_5_degrees,Reduced_Amount,Normalized_Azimuth,Latitude_Difference,Longitude_Difference,name,name:en,highway,surface,smoothness,width,lanes,oneway,bridge,layer,source,name:si,name:ta,osm_id,osm_type,Road_Coverage,Population_Density,geohash,total_population,population_density
6327553,Muwadora_Uyana_2_Lamp-CM5133-H_B,-32.1,-4.65,tc0z9enm,1650,6.96074,79.879366,10,CM5133,Muwadora_Uyana_2_Lamp,L18_2,20.0,145.0,0,0.0,0.0,6.961795,79.876746,4,4,0,0.312071559,112.0803747,145,90,55,-0.001055,0.00262,Japan - Sri Lanka Friendship Bridge,,trunk,asphalt,,,2.0,yes,,,,,,29482998.0,ways_line,1,13581.79297,tc0z9enm,0,0.0
6327553,Muwadora_Uyana_2_Lamp-CM5133-H_B,-32.1,-4.65,tc0z9enm,1650,6.96074,79.879366,10,CM5133,Muwadora_Uyana_2_Lamp,L18_2,20.0,145.0,0,0.0,0.0,6.961795,79.876746,4,4,0,0.312071559,112.0803747,145,90,55,-0.001055,0.00262,Japan - Sri Lanka Friendship Bridge,,trunk,asphalt,,,2.0,yes,,,,,,29482559.0,ways_line,1,13581.79297,tc0z9enm,0,0.0
6468907,Thumbowila-CM0810-B_D,0.0,0.0,tc0yf2dw,3750,6.815409,79.907105,0,CM0810,Thumbowila,L9_4,30.0,300.0,6,0.0,6.0,6.812292,79.910411,5,9,4,0.503351751,313.5174767,300,270,30,0.003117,-0.003306,Duwawatte Road,,residential,asphalt,,,,,,,,,,343677398.0,ways_line,1,3891.182373,tc0yf2dw,29,0.078867584
6468907,Thumbowila-CM0810-B_D,0.0,0.0,tc0yf2dw,3750,6.815409,79.907105,0,CM0810,Thumbowila,L9_4,30.0,300.0,6,0.0,6.0,6.812292,79.910411,5,9,4,0.503351751,313.5174767,300,270,30,0.003117,-0.003306,,,residential,,,,,,,,,,,343677399.0,ways_line,1,3891.182373,tc0yf2dw,29,0.078867584
6556675,Dedigamuwa_West-CM1605-H_C,-90.0,-12.5,tc0zhf3u,1650,6.868649,80.015884,3,CM1605,Dedigamuwa_West,L18_3,50.0,180.0,5,0.0,5.0,6.87691,80.01684,24,29,5,0.924624225,186.5541988,180,180,0,-0.008261,-0.000956,,,residential,,,,,,,,,,,797251202.0,ways_line,1,1757.2854,tc0zhf3u,0,0.0
6556675,Dedigamuwa_West-CM1605-H_C,-90.0,-12.5,tc0zhf3u,1650,6.868649,80.015884,3,CM1605,Dedigamuwa_West,L18_3,50.0,180.0,5,0.0,5.0,6.87691,80.01684,24,29,5,0.924624225,186.5541988,180,180,0,-0.008261,-0.000956,Habarakada-Ranala Road,,secondary,,,,,,,,,,,554380428.0,ways_line,1,1757.2854,tc0zhf3u,0,0.0
6046976,Manipai_South-JA0172-H_A,-54.5,-7.75,tc8zk0yv,1650,9.716979,79.989958,2,JA0172,Manipai_South,L18_1,50.0,40.0,2,0.0,2.0,9.712358,79.993242,10,10,0,0.627352446,324.9898836,40,0,40,0.004621,-0.003284,,,residential,,,,,,,,,,,377157953.0,ways_line,1,1524.204956,tc8zk0yv,0,0.0
6046976,Manipai_South-JA0172-H_A,-54.5,-7.75,tc8zk0yv,1650,9.716979,79.989958,2,JA0172,Manipai_South,L18_1,50.0,40.0,2,0.0,2.0,9.712358,79.993242,10,10,0,0.627352446,324.9898836,40,0,40,0.004621,-0.003284,,,residential,,,,,,,,,,,313395637.0,ways_line,1,1524.204956,tc8zk0yv,0,0.0
6132737,Uva_Pelwatta_South-MO0058-H_A,-106.0,-13.0,tc1y0nu3,1650,6.717024,81.216984,2,MO0058,Uva_Pelwatta_South,L18_1,60.0,50.0,3,0.0,3.0,6.722942,81.208597,160,161,1,1.136155909,125.3931897,50,0,50,-0.005918,0.008387,,,unclassified,,,,,,,,,,,1066362611.0,ways_line,1,296.8208618,tc1y0nu3,7,0.020339198
6132737,Uva_Pelwatta_South-MO0058-H_A,-90.0,-6.0,tc1y20m9,1650,6.725297,81.218797,2,MO0058,Uva_Pelwatta_South,L18_1,60.0,50.0,3,0.0,3.0,6.722942,81.208597,169,161,8,1.156425411,76.9116763,50,0,50,0.002355,0.0102,,,unclassified,,,,,,,,,,,1216246274.0,ways_line,1,202.6587067,tc1y20m9,0,0.0
5693708,Angunakolapelassa-HA0013-H_4C,-111.0,-9.0,tc1e0tn1,1650,6.180129,80.889922,4,HA0013,Angunakolapelassa,L18_3333,70.0,310.0,3,0.0,3.0,6.16747916,80.8982454,31,32,1,1.68083248,326.8090017,310,270,40,0.01264984,-0.0083234,,,living_street,,,,,,,,,,,369549226.0,ways_line,1,792.5220337,tc1e0tn1,0,0.0
5698562,Weerawila_Town-HA0034-H_B,-91.67,-7.33,tc1g86kq,1650,6.253693,81.227862,18,HA0034,Weerawila_Town,L18_2,21.0,200.0,3,0.0,3.0,6.2572,81.2303,36,43,7,0.474012955,214.6462326,200,180,20,-0.003507,-0.002438,,,service,,,,,,,,,,,363893664.0,ways_line,1,423.2636719,tc1g86kq,0,0.0020564815
5698562,Weerawila_Town-HA0034-H_B,-91.67,-7.33,tc1g86kq,1650,6.253693,81.227862,18,HA0034,Weerawila_Town,L18_2,21.0,200.0,3,0.0,3.0,6.2572,81.2303,36,43,7,0.474012955,214.6462326,200,180,20,-0.003507,-0.002438,,,service,,,,,,,,,,,363845799.0,ways_line,1,423.2636719,tc1g86kq,0,0.0020564815
6418437,Malpettawa-HA0212-B_B,-103.0,-10.0,tc1dene6,3750,6.100629,80.9958,2,HA0212,Malpettawa,L9_2,33.0,255.0,3,0.0,3.0,6.11319,80.992227,2,21,19,1.451511529,164.2069097,255,180,75,-0.012561,0.003573,,,track,,,,,,,,GPS,,,366692085.0,ways_line,1,139.1632996,tc1dene6,0,0.0
6418437,Malpettawa-HA0212-B_B,-101.4,-10.0,tc1dened,3750,6.100629,80.996344,30,HA0212,Malpettawa,L9_2,33.0,255.0,3,0.0,3.0,6.11319,80.992227,2,21,19,1.469021679,161.9489645,255,180,75,-0.012561,0.004117,,,track,,,,,,,,GPS,,,366692085.0,ways_line,1,139.1632996,tc1dened,0,0.0
5414737,Katuneriya-PU0006-P_B,0.0,0.0,tc2cbxp0,525,7.377485,79.836398,0,PU0006,Katuneriya,L21_2,30.0,90.0,3,0.0,3.0,7.377222,79.830833,15,19,4,0.614373747,87.27132564,90,90,0,0.000263,0.005565,,,residential,,,,,,,,,,,1245198243.0,ways_line,1,1404.97876,tc2cbxp0,0,0.0
